name,positive ratings,negative ratings,total reviews,rating percentage,category,first_release_date,platforms,genres,aggregated_rating,aggregated_rating_count,public_rating_igdb,public_rating_count,game_engines,game_modes,player_perspectives
A Short Hike,"17,114",137,"17,251",96.60%,main_game,1564444800,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Adventure', 'Indie']",7.8,2.0,7.3,225,['Unity'],['Single player'],['Bird view / Isometric']
Euro Truck Simulator 2,"781,905","21,153","803,058",96.58%,main_game,1388448000,['PC (Microsoft Windows)'],['Simulator'],8.8,2.0,7.9,303,['Prism3D'],['Single player'],"['First person', 'Third person']"
Slay the Spire,"162,279","3,568","165,847",96.56%,main_game,1510617600,['PC (Microsoft Windows)'],"['Strategy', 'Indie']",9.3,8.0,8.5,360,['libGDX'],['Single player'],['Bird view / Isometric']
Slime Rancher,"122,498","2,601","125,099",96.52%,main_game,1501545600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac']","['Shooter', 'Simulator', 'Strategy', 'Adventure', 'Indie']",7.8,4.0,7.4,174,['Unity'],['Single player'],['First person']
ULTRAKILL,"126,315","2,765","129,080",96.47%,main_game,1599091200,['PC (Microsoft Windows)'],"['Shooter', 'Platform', 'Indie', 'Arcade']",n/a,n/a,8.5,38,['Unity'],['Single player'],['First person']
Mount & Blade: Warband,"159,329","3,691","163,020",96.45%,main_game,1269993600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac']","['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure']",6.9,6.0,8.5,334,['Dazubo / Mount & Blade '],"['Single player', 'Multiplayer']","['First person', 'Third person']"
Totally Accurate Battle Simulator,"125,206","2,775","127,981",96.44%,main_game,1576800000,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Fighting', 'Simulator', 'Strategy', 'Indie']",n/a,n/a,7.5,78,['Unity'],"['Single player', 'Multiplayer']","['First person', 'Third person', 'Bird view / Isometric']"
The Binding of Isaac: Rebirth,"294,207","7,583","301,790",96.42%,main_game,1627084800,"['PC (Microsoft Windows)', 'PlayStation Portable']",['Roguelike'],9.5,2,8.7,447,['Proprietary Engine'],['Single player'],['Bird view / Isometric']
Half-Life 2,"195,614","4,841","200,455",96.38%,mod,1545696000,['PC (Microsoft Windows)'],['Shooter'],9.1,8,9.1,2000,['Source'],['Single player'],['First person']
OneShot,"46,464",816,"47,280",96.38%,main_game,1582761600,['PC (Microsoft Windows)'],['Indie'],n/a,n/a,8.4,99,['RPG Maker XP'],['Single player'],['Bird view / Isometric']
Cats Hidden in Jingle Jam,"9,156",41,"9,197",96.38%,main_game,1701388800,['PC (Microsoft Windows)'],['Indie'],n/a,n/a,n/a,n/a,n/a,['Single player'],['Side view']
Lethal Company,"424,130","11,749","435,879",96.36%,main_game,1698019200,['PC (Microsoft Windows)'],['Indie'],n/a,n/a,7.6,103,['Unity'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
Helltaker,"117,951","2,688","120,639",96.36%,main_game,1589155200,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Puzzle', 'Adventure', 'Indie']",n/a,n/a,7.3,137,['Unity 2019'],['Single player'],['Bird view / Isometric']
VPet,"41,560",712,"42,272",96.36%,main_game,1691884800,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Simulator', 'Indie']",n/a,n/a,n/a,n/a,n/a,['Single player'],['Text']
Cats Hidden in Paris,"16,300",166,"16,466",96.36%,main_game,1689552000,['PC (Microsoft Windows)'],"['Puzzle', 'Adventure', 'Indie']",n/a,n/a,5.6,n/a,n/a,['Single player'],['Side view']
Katana ZERO,"66,436","1,328","67,764",96.35%,main_game,1555545600,"['PC (Microsoft Windows)', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Platform', 'Strategy', 'Adventure', 'Indie', 'Arcade']",8.5,10.0,8.0,260,['Proprietary Engine'],['Single player'],['Side view']
Counter-Strike,"234,970","6,191","241,161",96.30%,main_game,973728000,"['PC (Microsoft Windows)', 'Xbox', 'Linux', 'Mac']",['Shooter'],7.0,2.0,8.3,606,['GoldSrc'],['Multiplayer'],['First person']
Resident Evil 4,"144,960","3,541","148,501",96.29%,bundle,1253145600,"['PC (Microsoft Windows), 'Game Cube', 'PlayStation 2', 'PlayStation 3']",['Adventure'],9.5,11,9.1,329,['RE Engine'],['Single player'],['Third person']
Bloons TD 6,"320,153","8,876","329,029",96.27%,main_game,1528934400,"['PC (Microsoft Windows)', 'visionOS', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac']","['Strategy', 'Tactical']",n/a,n/a,8.0,98,['Unity'],"['Single player', 'Multiplayer', 'Co-operative']",['Bird view / Isometric']
BeamNG.drive,"267,054","7,297","274,351",96.25%,main_game,1428192000,['PC (Microsoft Windows)'],"['Racing', 'Simulator']",n/a,n/a,7.7,49,"['Beam Next Generation', 'Torque 3D']","['Single player', 'Multiplayer']","['First person', 'Third person', 'Virtual Reality']"
Plants vs. Zombies: Game of the Year,"128,609","3,205","131,814",96.20%,main_game,1281312000,"['PC (Microsoft Windows)', 'Mac']","['Puzzle', 'Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical']",8.0,1.0,7.1,13,['Popcap Games Framework'],['Single player'],['Side view']
Papa's Freezeria Deluxe,"9,440",68,"9,508",96.16%,remaster,1680220800,['PC (Microsoft Windows)'],"['Simulator', 'Strategy', 'Indie']",n/a,n/a,n/a,n/a,['Adobe AIR'],['Single player'],"['Bird view / Isometric', 'Text']"
ATRI -My Dear Moments-,"18,715",257,"18,972",96.14%,main_game,1592438400,"['PC (Microsoft Windows)', 'Nintendo Switch']","['Adventure', 'Visual Novel']",n/a,n/a,n/a,n/a,n/a,['Single player'],['Text']
Deep Rock Galactic,"303,131","8,803","311,934",96.13%,main_game,1589328000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One']","['Shooter', 'Adventure', 'Indie']",8.2,7.0,8.1,168,['Unreal Engine 4'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
Hollow Knight,"361,198","10,758","371,956",96.12%,main_game,1487894400,"['PC (Microsoft Windows)', 'Wii U', 'Linux', 'Mac', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie']",9.1,10.0,9.2,1000,['Unity'],['Single player'],['Side view']
Dyson Sphere Program,"79,350","1,904","81,254",96.07%,main_game,1611187200,['PC (Microsoft Windows)'],"['Simulator', 'Strategy', 'Indie']",n/a,n/a,8.3,29,['Unity'],['Single player'],['Third person']
Entropy : Zero 2,"24,816",418,"25,234",96.06%,mod,1660953600,['PC (Microsoft Windows)'],['Shooter'],n/a,n/a,8.5,n/a,['Source'],['Single player'],['First person']
Dishonored,"78,162","1,884","80,046",96.05%,main_game,1349740800,"['PC (Microsoft Windows)', 'PlayStation 3', 'Xbox 360']","['Puzzle', 'Role-playing (RPG)', 'Adventure']",9.0,15.0,8.5,1000,['Unreal Engine'],['Single player'],['First person']
Celeste,"105,047","2,698","107,745",96.04%,main_game,1516838400,"['PC (Microsoft Windows)', 'Google Stadia', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie']",9.1,13.0,8.7,1000,"['MonoGame', 'XNA Game Studio', 'FNA']",['Single player'],['Side view']
A Hat in Time,"49,280","1,065","50,345",96.04%,main_game,1507161600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Mac', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie']",8.0,13.0,8.4,203,['Unreal Engine'],"['Single player', 'Multiplayer', 'Co-operative', 'Split screen']","['First person', 'Third person']"
Garry's Mod,"1,066,252","35,902","1,102,154",96.03%,main_game,1103846400,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Simulator', 'Indie']",n/a,n/a,7.9,353,['Source'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
Rhythm Doctor,"19,949",317,"20,266",95.99%,main_game,1614297600,"['PC (Microsoft Windows)', 'Android', 'iOS', 'Mac', 'Nintendo Switch']","['Music', 'Adventure', 'Indie']",n/a,n/a,8.9,18,n/a,"['Single player', 'Multiplayer', 'Co-operative']",['Side view']
tModLoader,"265,176","8,013","273,189",95.98%,mod,1589673600,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Platform', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",n/a,n/a,9.0,10,n/a,"['Single player', 'Multiplayer', 'Co-operative']",['Side view']
The WereCleaner,"5,850",22,"5,872",95.98%,main_game,1715040000,"['PC (Microsoft Windows)', 'iOS']","['Strategy', 'Indie', 'Arcade']",n/a,n/a,n/a,n/a,['Unity'],['Single player'],['Bird view / Isometric']
Baldur's Gate 3,"640,329","21,197","661,526",95.97%,main_game,1691020800,"['PC (Microsoft Windows)', 'Google Stadia', 'PlayStation 5', 'Xbox Series X|S', 'Mac']","['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure']",9.5,17.0,9.6,592,['Divinity Engine'],"['Single player', 'Multiplayer', 'Co-operative', 'Split screen']",['Bird view / Isometric']
Stray,"141,439","3,956","145,395",95.96%,dlc_addon,1700006400,"['PC (Microsoft Windows)', 'Xbox One']","['Role-playing (RPG)', 'Adventure']",8.5,12,8.2,441,['Unreal Engine 4'],['Single player'],['Third person']
Firework,"38,760",817,"39,577",95.96%,main_game,1544054400,"['PC (Microsoft Windows)', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie', 'Arcade']",n/a,n/a,n/a,n/a,n/a,['Single player'],['Side view']
Our Life: Beginnings & Always,"11,447",131,"11,578",95.95%,main_game,1605484800,"['PC (Microsoft Windows)', 'Android', 'Linux', 'Mac']","['Simulator', 'Indie', 'Visual Novel']",n/a,n/a,7.8,7,n/a,['Single player'],['Text']
The Room 4: Old Sins,"14,861",212,"15,073",95.91%,main_game,1516838400,"['PC (Microsoft Windows)', 'Android', 'iOS']","['Point-and-click', 'Puzzle', 'Adventure']",8.0,1.0,7.9,46,n/a,['Single player'],['First person']
Sheepy: A Short Adventure,"11,361",134,"11,495",95.91%,main_game,1707177600,['PC (Microsoft Windows)'],"['Platform', 'Adventure', 'Indie']",n/a,n/a,7.9,13,n/a,['Single player'],['Side view']
South Park™: The Stick of Truth™,"61,121","1,511","62,632",95.88%,main_game,1393804800,"['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation 4', 'Xbox 360', 'Xbox One', 'Nintendo Switch']","['Role-playing (RPG)', 'Strategy', 'Adventure']",8.0,17.0,8.3,1000,['Onyx Engine'],['Single player'],"['Third person', 'Side view']"
The Chronicles Of Myrtana: Archolos,"14,640",211,"14,851",95.88%,mod,1639094400,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Adventure']",n/a,n/a,9.1,5,['ZenGin'],['Single player'],"['First person', 'Third person']"
Grimm's Hollow,"13,232",181,"13,413",95.87%,main_game,1572480000,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",n/a,n/a,7.9,24,['RPG Maker 2003'],['Single player'],['Bird view / Isometric']
Dead Cells,"153,748","4,521","158,269",95.86%,main_game,1533513600,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Android', 'Xbox One', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie']",9.0,17.0,8.3,506,['Heaps.io'],['Single player'],['Side view']
Subnautica,"275,696","8,817","284,513",95.83%,bundle,1620950400,"['PlayStation 5', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Adventure', 'Indie']",8.4,14,8.3,433,['Unity'],['Single player'],['First person']
Volcano Princess,"35,292",785,"36,077",95.79%,main_game,1682035200,"['PC (Microsoft Windows)', 'Xbox Series X|S', 'Xbox One']","['Role-playing (RPG)', 'Simulator', 'Indie']",n/a,n/a,7.2,5,['Unity'],['Single player'],['First person']
TOEM,"6,853",53,"6,906",95.79%,main_game,1631836800,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Puzzle', 'Adventure', 'Indie']",9.5,2.0,8.5,44,['Unity'],['Single player'],"['First person', 'Bird view / Isometric']"
DAVE THE DIVER,"108,123","3,118","111,241",95.77%,main_game,1687910400,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', 'Simulator', 'Adventure']",9.3,8.0,8.1,73,['Unity'],['Single player'],['Side view']
OMORI,"71,582","1,911","73,493",95.77%,mod,1645833600,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Indie']",8.3,2,9.0,117,['RPG Maker MV'],['Single player'],['Bird view / Isometric']
The Wolf Among Us,"33,196",738,"33,934",95.76%,episode,1404777600,"['PC (Microsoft Windows)', 'PlayStation 3', 'Xbox 360', 'Mac']","['Point-and-click', 'Adventure']",8.0,11.0,8.4,1000,['Telltale Tool'],['Single player'],['Third person']
Chants of Sennaar,"16,386",274,"16,660",95.76%,main_game,1693872000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",8.0,3.0,9.1,41,['Unity'],['Single player'],['Bird view / Isometric']
Hotline Miami,"95,791","2,752","98,543",95.73%,main_game,1350950400,"['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation Vita', 'Google Stadia', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Android', 'Xbox One', 'Linux']","['Shooter', 'Indie', 'Arcade']",8.6,13.0,8.4,1000,['GameMaker: Studio'],['Single player'],['Bird view / Isometric']
Resident Evil 2,"156,121","4,899","161,020",95.69%,bundle,1548374400,['PC (Microsoft Windows)'],['Adventure'],9.3,15,8.7,1000,['RE Engine'],['Single player'],['Third person']
Crab Champions,"23,160",479,"23,639",95.66%,main_game,1680307200,['PC (Microsoft Windows)'],"['Fighting', 'Shooter', 'Racing', 'Adventure', 'Indie']",n/a,n/a,6.2,16,['Unreal Engine 5'],"['Single player', 'Multiplayer', 'Co-operative', 'Battle Royale']",['Third person']
Brotato,"77,803","2,221","80,024",95.65%,main_game,1679961600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Fighting', 'Shooter', 'Role-playing (RPG)', 'Indie', 'Arcade']",n/a,n/a,7.8,57,['Godot'],['Single player'],['Bird view / Isometric']
Balatro,"49,571","1,293","50,864",95.64%,main_game,1708387200,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Strategy', 'Indie', 'Card & Board Game']",9.1,5.0,8.3,75,['love2d'],['Single player'],['Bird view / Isometric']
The Room,"26,851",590,"27,441",95.64%,main_game,1604102400,['Web browser'],['Puzzle'],n/a,n/a,n/a,n/a,n/a,['Single player'],"['First person', 'Text']"
Neon White,"15,648",279,"15,927",95.63%,main_game,1655337600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Shooter', 'Platform', 'Indie', 'Visual Novel']",8.9,9.0,8.6,77,['Unity'],['Single player'],"['First person', 'Text']"
"Papers, Please","68,775","1,940","70,715",95.62%,main_game,1375920000,"['PC (Microsoft Windows)', 'PlayStation Vita', 'Android', 'Linux', 'iOS', 'Mac']","['Point-and-click', 'Puzzle', 'Simulator', 'Indie']",8.2,5.0,8.2,568,['OpenFL'],['Single player'],"['First person', 'Text']"
STAR WARS™ Empire at War: Gold Pack,"36,200",884,"37,084",95.61%,bundle,1187136000,['PC (Microsoft Windows)'],"['Real Time Strategy (RTS)', 'Strategy']",7.3,3,7.4,98,['Alamo'],"['Single player', 'Multiplayer']",['Bird view / Isometric']
Steam Engine Simulator,"7,240",76,"7,316",95.60%,main_game,1686096000,['PC (Microsoft Windows)'],['Simulator'],n/a,n/a,n/a,n/a,n/a,['Single player'],"['First person', 'Auditory']"
BattleBlock Theater,"68,927","1,963","70,890",95.59%,main_game,1364947200,"['PC (Microsoft Windows)', 'Xbox 360', 'Linux', 'Mac']","['Platform', 'Puzzle', 'Adventure', 'Indie']",8.9,8.0,7.8,169,n/a,"['Single player', 'Multiplayer', 'Co-operative']",['Side view']
Factorio,"184,069","6,110","190,179",95.58%,main_game,1597363200,"['PC (Microsoft Windows)', 'Linux', 'Mac', 'Nintendo Switch']","['Simulator', 'Strategy', 'Indie']",8.6,2.0,8.5,231,['Proprietary Engine'],"['Single player', 'Multiplayer', 'Co-operative']",['Bird view / Isometric']
Satisfactory,"180,597","5,991","186,588",95.58%,main_game,1725926400,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Simulator', 'Strategy', 'Adventure', 'Indie']",9.5,2.0,7.5,139,['Unreal Engine 5'],"['Single player', 'Multiplayer', 'Co-operative']",['First person']
The Walking Dead,"67,473","1,923","69,396",95.58%,main_game,1335225600,"['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation Vita', 'PlayStation 4', 'Xbox 360', 'Android', 'Xbox One', 'Linux', 'iOS', 'Mac']","['Point-and-click', 'Adventure']",8.4,9.0,8.6,1000,['Telltale Tool'],['Single player'],"['Third person', 'Bird view / Isometric']"
Pineapple on pizza,"22,347",479,"22,826",95.57%,main_game,1679961600,"['PC (Microsoft Windows)', 'Linux', 'Mac']",['Indie'],n/a,n/a,7.0,22,['Unity'],['Single player'],['First person']
Inscryption,"116,790","3,697","120,487",95.55%,main_game,1634601600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Puzzle', 'Strategy', 'Adventure', 'Indie', 'Card & Board Game']",8.2,5.0,8.7,247,['Unity'],['Single player'],"['First person', 'Bird view / Isometric']"
Undertale,"231,581","7,996","239,577",95.54%,main_game,1442275200,"['PC (Microsoft Windows)', 'PlayStation Vita', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Puzzle', 'Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",9.6,16.0,8.7,1000,['GameMaker: Studio'],['Single player'],['Bird view / Isometric']
Phoenix Wright: Ace Attorney Trilogy,"32,334",789,"33,123",95.54%,bundle,1397692800,"['PC (Microsoft Windows)', 'Nintendo 3DS', 'PlayStation 4', 'Xbox One', 'iOS', 'Nintendo Switch']","['Puzzle', 'Simulator', 'Adventure', 'Visual Novel']",8.2,13.0,8.2,70,['Unity'],['Single player'],['Text']
American Truck Simulator,"156,303","5,176","161,479",95.53%,main_game,1454371200,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Racing', 'Simulator', 'Indie']",8.1,7.0,8.1,75,['Prism3D'],"['Single player', 'Multiplayer', 'Co-operative']","['First person', 'Third person']"
VTOL VR,"17,072",339,"17,411",95.51%,main_game,1501718400,['SteamVR'],"['Simulator', 'Indie']",n/a,n/a,8.4,6,,"['Single player', 'Multiplayer', 'Co-operative']",['Virtual Reality']
Black Myth: Wukong,"888,106","34,930","923,036",95.48%,main_game,1724112000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Role-playing (RPG)', 'Adventure']",8.8,5.0,8.8,95,['Unreal Engine 5'],['Single player'],['Third person']
东方夜雀食堂 - Touhou Mystia's Izakaya,"23,659",540,"24,199",95.48%,main_game,1633046400,"['PC (Microsoft Windows)', 'Mac', 'Nintendo Switch']","['Music', 'Role-playing (RPG)', 'Simulator', 'Indie']",n/a,n/a,n/a,n/a,n/a,['Single player'],['Bird view / Isometric']
Placid Plastic Duck Simulator,"14,843",284,"15,127",95.47%,main_game,1657065600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Music', 'Puzzle', 'Simulator']",n/a,n/a,n/a,n/a,n/a,"['Single player', 'Multiplayer', 'Co-operative']","['Third person', 'Bird view / Isometric']"
Project Kat - Paper Lily Prologue,"4,884",35,"4,919",95.47%,main_game,1584316800,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Puzzle', 'Role-playing (RPG)']",n/a,n/a,n/a,n/a,['RPG Maker'],['Single player'],['Bird view / Isometric']
VA-11 Hall-A: Cyberpunk Bartender Action,"33,967",873,"34,840",95.46%,main_game,1466467200,"['PC (Microsoft Windows)', 'PlayStation Vita', 'PlayStation 4', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Simulator', 'Adventure', 'Indie', 'Visual Novel']",8.4,9.0,8.4,129,['Game Maker'],['Single player'],['Text']
There Is No Game: Wrong Dimension,"21,724",490,"22,214",95.45%,main_game,1596672000,"['PC (Microsoft Windows)', 'Android', 'iOS', 'Mac', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",8.0,1.0,8.0,42,n/a,['Single player'],['Bird view / Isometric']
CLANNAD,"8,914",128,"9,042",95.45%,main_game,1275523200,"['PC (Microsoft Windows)', 'PlayStation Portable', 'Android', 'Nintendo Switch']","['Adventure', 'Visual Novel']",n/a,n/a,n/a,n/a,n/a,['Single player'],"['First person', 'Text']"
Persona 4 Golden,"70,262","2,128","72,390",95.44%,pack,1706832000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One']","['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure']",8.6,17.0,9.5,476,['renderware'],['Single player'],['Third person']
Bomb Rush Cyberfunk,"11,180",190,"11,370",95.42%,main_game,1692316800,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Platform', 'Role-playing (RPG)', 'Sport', 'Adventure', 'Indie']",8.3,3.0,7.0,11,['Unity'],['Single player'],['Third person']
Baba Is You,"20,247",457,"20,704",95.39%,main_game,1654387200,['PC (Microsoft Windows)'],['Puzzle'],8.0,6.0,8.1,151,['Multimedia Fusion 2'],['Single player'],['Bird view / Isometric']
Oxygen Not Included,"115,767","3,866","119,633",95.38%,main_game,1564444800,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Simulator', 'Strategy', 'Indie']",n/a,n/a,7.9,103,['Unity'],['Single player'],['Side view']
One Finger Death Punch,"15,904",336,"16,240",95.34%,main_game,1377993600,"['PC (Microsoft Windows)', 'Xbox 360', 'Android']","['Fighting', ""Hack and slash/Beat 'em up"", 'Indie', 'Arcade']",9.0,2.0,7.1,53,['Microsoft XNA'],['Single player'],['Side view']
PowerWash Simulator,"45,259","1,309","46,568",95.33%,main_game,1698883200,"['PC (Microsoft Windows)', 'Meta Quest 2', 'Meta Quest 3']","['Simulator', 'Indie']",7.9,4,7.8,54,['Unity'],"['Single player', 'Co-operative']","['First person', 'Virtual Reality']"
